#: table_doi: 10.17182/hepdata.115022.v2/t36
#: name: ak7_correlations_y3_y4
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$and $1.5 < |y| < 2.0$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y4.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
508.0   468.0   548.0   431.5   395.0   468.0   0.0083255
508.0   468.0   548.0   508.0   468.0   548.0   -0.0096599
508.0   468.0   548.0   593.0   548.0   638.0   0.010708
508.0   468.0   548.0   687.5   638.0   737.0   -0.0051395
508.0   468.0   548.0   791.5   737.0   846.0   0.0026491
508.0   468.0   548.0   906.5   846.0   967.0   -0.0012444
508.0   468.0   548.0   1034.0   967.0   1101.0   0.00075612
508.0   468.0   548.0   1174.5   1101.0   1248.0   -0.00033239
508.0   468.0   548.0   1329.0   1248.0   1410.0   0.00017412
508.0   468.0   548.0   1499.0   1410.0   1588.0   -0.00014417
593.0   548.0   638.0   115.0   97.0   133.0   -0.00028684
593.0   548.0   638.0   153.5   133.0   174.0   0.00016041
593.0   548.0   638.0   197.0   174.0   220.0   -0.00024281
593.0   548.0   638.0   246.0   220.0   272.0   5.3256e-05
593.0   548.0   638.0   301.0   272.0   330.0   -0.00014632
593.0   548.0   638.0   362.5   330.0   395.0   0.0010943
593.0   548.0   638.0   431.5   395.0   468.0   -0.0037095
593.0   548.0   638.0   508.0   468.0   548.0   0.0087251
593.0   548.0   638.0   593.0   548.0   638.0   -0.015901
593.0   548.0   638.0   687.5   638.0   737.0   0.011284
593.0   548.0   638.0   791.5   737.0   846.0   -0.0052656
593.0   548.0   638.0   906.5   846.0   967.0   0.0029909
593.0   548.0   638.0   1034.0   967.0   1101.0   -0.0015701
593.0   548.0   638.0   1174.5   1101.0   1248.0   0.00079788
593.0   548.0   638.0   1329.0   1248.0   1410.0   -0.00038144
593.0   548.0   638.0   1499.0   1410.0   1588.0   0.00033428
687.5   638.0   737.0   115.0   97.0   133.0   -8.3901e-05
687.5   638.0   737.0   153.5   133.0   174.0   2.0632e-05
687.5   638.0   737.0   197.0   174.0   220.0   8.7264e-05
687.5   638.0   737.0   246.0   220.0   272.0   4.4543e-06
687.5   638.0   737.0   301.0   272.0   330.0   4.0439e-05
687.5   638.0   737.0   362.5   330.0   395.0   -0.00044968
687.5   638.0   737.0   431.5   395.0   468.0   0.0016935
687.5   638.0   737.0   508.0   468.0   548.0   -0.0038045
687.5   638.0   737.0   593.0   548.0   638.0   0.009156
687.5   638.0   737.0   687.5   638.0   737.0   -0.016663
687.5   638.0   737.0   791.5   737.0   846.0   0.01277
687.5   638.0   737.0   906.5   846.0   967.0   -0.0058192
687.5   638.0   737.0   1034.0   967.0   1101.0   0.0033945
687.5   638.0   737.0   1174.5   1101.0   1248.0   -0.0015124
687.5   638.0   737.0   1329.0   1248.0   1410.0   0.00085311
687.5   638.0   737.0   1499.0   1410.0   1588.0   -0.00065249
791.5   737.0   846.0   115.0   97.0   133.0   -0.00015661
791.5   737.0   846.0   153.5   133.0   174.0   7.4759e-05
791.5   737.0   846.0   197.0   174.0   220.0   -5.5184e-05
791.5   737.0   846.0   246.0   220.0   272.0   8.2824e-06
791.5   737.0   846.0   301.0   272.0   330.0   -1.1407e-05
791.5   737.0   846.0   362.5   330.0   395.0   0.00022424
791.5   737.0   846.0   431.5   395.0   468.0   -0.00070757
791.5   737.0   846.0   508.0   468.0   548.0   0.0018361
791.5   737.0   846.0   593.0   548.0   638.0   -0.0035932
791.5   737.0   846.0   687.5   638.0   737.0   0.011501
791.5   737.0   846.0   791.5   737.0   846.0   -0.01565
791.5   737.0   846.0   906.5   846.0   967.0   0.014006
791.5   737.0   846.0   1034.0   967.0   1101.0   -0.0064162
791.5   737.0   846.0   1174.5   1101.0   1248.0   0.0034838
791.5   737.0   846.0   1329.0   1248.0   1410.0   -0.0017404
791.5   737.0   846.0   1499.0   1410.0   1588.0   0.0011674
906.5   846.0   967.0   115.0   97.0   133.0   -6.2279e-05
906.5   846.0   967.0   153.5   133.0   174.0   2.3811e-05
906.5   846.0   967.0   197.0   174.0   220.0   1.3917e-05
906.5   846.0   967.0   246.0   220.0   272.0   6.4924e-06
906.5   846.0   967.0   301.0   272.0   330.0   5.3395e-06
906.5   846.0   967.0   362.5   330.0   395.0   -7.5439e-05
906.5   846.0   967.0   431.5   395.0   468.0   0.00032635
906.5   846.0   967.0   508.0   468.0   548.0   -0.00068151
906.5   846.0   967.0   593.0   548.0   638.0   0.001694
906.5   846.0   967.0   687.5   638.0   737.0   -0.0039795
906.5   846.0   967.0   791.5   737.0   846.0   0.011728
906.5   846.0   967.0   906.5   846.0   967.0   -0.012827
906.5   846.0   967.0   1034.0   967.0   1101.0   0.01461
906.5   846.0   967.0   1174.5   1101.0   1248.0   -0.0064621
906.5   846.0   967.0   1329.0   1248.0   1410.0   0.0038551
906.5   846.0   967.0   1499.0   1410.0   1588.0   -0.0022184
1034.0   967.0   1101.0   115.0   97.0   133.0   -3.5934e-05
1034.0   967.0   1101.0   153.5   133.0   174.0   1.6972e-05
1034.0   967.0   1101.0   197.0   174.0   220.0   -1.0672e-05
1034.0   967.0   1101.0   246.0   220.0   272.0   4.4579e-07
1034.0   967.0   1101.0   301.0   272.0   330.0   2.7054e-06
1034.0   967.0   1101.0   362.5   330.0   395.0   4.2106e-05
1034.0   967.0   1101.0   431.5   395.0   468.0   -0.00011743
1034.0   967.0   1101.0   508.0   468.0   548.0   0.00033359
1034.0   967.0   1101.0   593.0   548.0   638.0   -0.00057476
1034.0   967.0   1101.0   687.5   638.0   737.0   0.0020661
1034.0   967.0   1101.0   791.5   737.0   846.0   -0.0040171
1034.0   967.0   1101.0   906.5   846.0   967.0   0.011919
1034.0   967.0   1101.0   1034.0   967.0   1101.0   -0.014658
1034.0   967.0   1101.0   1174.5   1101.0   1248.0   0.015381
1034.0   967.0   1101.0   1329.0   1248.0   1410.0   -0.0075529
1034.0   967.0   1101.0   1499.0   1410.0   1588.0   0.0044051
1174.5   1101.0   1248.0   115.0   97.0   133.0   -1.1295e-05
1174.5   1101.0   1248.0   153.5   133.0   174.0   4.3954e-06
1174.5   1101.0   1248.0   197.0   174.0   220.0   3.0793e-06
1174.5   1101.0   1248.0   246.0   220.0   272.0   2.1315e-06
1174.5   1101.0   1248.0   301.0   272.0   330.0   7.1099e-07
1174.5   1101.0   1248.0   362.5   330.0   395.0   -1.2723e-05
1174.5   1101.0   1248.0   431.5   395.0   468.0   6.7616e-05
1174.5   1101.0   1248.0   508.0   468.0   548.0   -0.00011992
1174.5   1101.0   1248.0   593.0   548.0   638.0   0.0003212
1174.5   1101.0   1248.0   687.5   638.0   737.0   -0.0007388
1174.5   1101.0   1248.0   791.5   737.0   846.0   0.0021812
1174.5   1101.0   1248.0   906.5   846.0   967.0   -0.0039662
1174.5   1101.0   1248.0   1034.0   967.0   1101.0   0.012827
1174.5   1101.0   1248.0   1174.5   1101.0   1248.0   -0.018648
1174.5   1101.0   1248.0   1329.0   1248.0   1410.0   0.016761
1174.5   1101.0   1248.0   1499.0   1410.0   1588.0   -0.0093802
1329.0   1248.0   1410.0   115.0   97.0   133.0   -2.6731e-05
1329.0   1248.0   1410.0   153.5   133.0   174.0   1.1778e-05
1329.0   1248.0   1410.0   197.0   174.0   220.0   -3.6795e-06
1329.0   1248.0   1410.0   246.0   220.0   272.0   7.6424e-07
1329.0   1248.0   1410.0   301.0   272.0   330.0   1.58e-06
1329.0   1248.0   1410.0   362.5   330.0   395.0   8.2488e-06
1329.0   1248.0   1410.0   431.5   395.0   468.0   -1.7157e-05
1329.0   1248.0   1410.0   508.0   468.0   548.0   5.3554e-05
1329.0   1248.0   1410.0   593.0   548.0   638.0   -5.1912e-05
1329.0   1248.0   1410.0   687.5   638.0   737.0   0.00027324
1329.0   1248.0   1410.0   791.5   737.0   846.0   -0.00056927
1329.0   1248.0   1410.0   906.5   846.0   967.0   0.0016908
1329.0   1248.0   1410.0   1034.0   967.0   1101.0   -0.0037044
1329.0   1248.0   1410.0   1174.5   1101.0   1248.0   0.011828
1329.0   1248.0   1410.0   1329.0   1248.0   1410.0   -0.020328
1329.0   1248.0   1410.0   1499.0   1410.0   1588.0   0.02219
1499.0   1410.0   1588.0   115.0   97.0   133.0   -9.6822e-06
1499.0   1410.0   1588.0   153.5   133.0   174.0   4.0727e-06
1499.0   1410.0   1588.0   197.0   174.0   220.0   3.5735e-08
1499.0   1410.0   1588.0   246.0   220.0   272.0   1.1122e-06
1499.0   1410.0   1588.0   301.0   272.0   330.0   -2.0591e-07
1499.0   1410.0   1588.0   362.5   330.0   395.0   6.8576e-08
1499.0   1410.0   1588.0   431.5   395.0   468.0   6.6884e-06
1499.0   1410.0   1588.0   508.0   468.0   548.0   -2.0455e-06
1499.0   1410.0   1588.0   593.0   548.0   638.0   5.5366e-06
1499.0   1410.0   1588.0   687.5   638.0   737.0   -1.7852e-06
1499.0   1410.0   1588.0   791.5   737.0   846.0   0.00022418
1499.0   1410.0   1588.0   906.5   846.0   967.0   -0.00021016
1499.0   1410.0   1588.0   1034.0   967.0   1101.0   0.0015841
1499.0   1410.0   1588.0   1174.5   1101.0   1248.0   -0.0032764
1499.0   1410.0   1588.0   1329.0   1248.0   1410.0   0.011276
