#: table_doi: 10.17182/hepdata.115022.v2/t27
#: name: ak7_correlations_y1_y3
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $|y| < 0.5$and $1.0 < |y| < 1.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y1_y3.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
687.5   638.0   737.0   791.5   737.0   846.0   0.0017113
687.5   638.0   737.0   906.5   846.0   967.0   0.00070141
687.5   638.0   737.0   1034.0   967.0   1101.0   0.00078757
687.5   638.0   737.0   1174.5   1101.0   1248.0   -0.00012844
687.5   638.0   737.0   1329.0   1248.0   1410.0   0.00037082
687.5   638.0   737.0   1499.0   1410.0   1588.0   -0.0001979
687.5   638.0   737.0   1686.0   1588.0   1784.0   0.00015947
687.5   638.0   737.0   1892.0   1784.0   2000.0   -1.028e-06
687.5   638.0   737.0   2119.0   2000.0   2238.0   -1.8011e-05
791.5   737.0   846.0   115.0   97.0   133.0   -0.00020617
791.5   737.0   846.0   153.5   133.0   174.0   9.6934e-05
791.5   737.0   846.0   197.0   174.0   220.0   -4.0995e-05
791.5   737.0   846.0   246.0   220.0   272.0   1.3184e-05
791.5   737.0   846.0   301.0   272.0   330.0   1.2708e-05
791.5   737.0   846.0   362.5   330.0   395.0   6.4573e-05
791.5   737.0   846.0   431.5   395.0   468.0   -0.00018297
791.5   737.0   846.0   508.0   468.0   548.0   0.00046853
791.5   737.0   846.0   593.0   548.0   638.0   0.00076615
791.5   737.0   846.0   687.5   638.0   737.0   0.0012512
791.5   737.0   846.0   791.5   737.0   846.0   0.013963
791.5   737.0   846.0   906.5   846.0   967.0   0.0030361
791.5   737.0   846.0   1034.0   967.0   1101.0   0.0010066
791.5   737.0   846.0   1174.5   1101.0   1248.0   0.0012231
791.5   737.0   846.0   1329.0   1248.0   1410.0   -0.00037773
791.5   737.0   846.0   1499.0   1410.0   1588.0   0.00058414
791.5   737.0   846.0   1686.0   1588.0   1784.0   -0.00016237
791.5   737.0   846.0   1892.0   1784.0   2000.0   5.146e-05
791.5   737.0   846.0   2119.0   2000.0   2238.0   5.8427e-05
906.5   846.0   967.0   115.0   97.0   133.0   -0.00018419
906.5   846.0   967.0   153.5   133.0   174.0   8.1607e-05
906.5   846.0   967.0   197.0   174.0   220.0   -1.4426e-05
906.5   846.0   967.0   246.0   220.0   272.0   1.6276e-05
906.5   846.0   967.0   301.0   272.0   330.0   -1.5308e-06
906.5   846.0   967.0   362.5   330.0   395.0   5.9213e-08
906.5   846.0   967.0   431.5   395.0   468.0   0.00013204
906.5   846.0   967.0   508.0   468.0   548.0   -6.4247e-05
906.5   846.0   967.0   593.0   548.0   638.0   0.00022806
906.5   846.0   967.0   687.5   638.0   737.0   0.00086428
906.5   846.0   967.0   791.5   737.0   846.0   0.0024801
906.5   846.0   967.0   906.5   846.0   967.0   0.023712
906.5   846.0   967.0   1034.0   967.0   1101.0   0.0045435
906.5   846.0   967.0   1174.5   1101.0   1248.0   0.00068309
906.5   846.0   967.0   1329.0   1248.0   1410.0   0.0019869
906.5   846.0   967.0   1499.0   1410.0   1588.0   -0.00070904
906.5   846.0   967.0   1686.0   1588.0   1784.0   0.00047005
906.5   846.0   967.0   1892.0   1784.0   2000.0   0.00027078
906.5   846.0   967.0   2119.0   2000.0   2238.0   -0.00016344
1034.0   967.0   1101.0   115.0   97.0   133.0   -0.00011816
1034.0   967.0   1101.0   153.5   133.0   174.0   5.3918e-05
1034.0   967.0   1101.0   197.0   174.0   220.0   -1.5716e-05
1034.0   967.0   1101.0   246.0   220.0   272.0   9.2778e-06
1034.0   967.0   1101.0   301.0   272.0   330.0   2.7534e-06
1034.0   967.0   1101.0   362.5   330.0   395.0   2.3758e-05
1034.0   967.0   1101.0   431.5   395.0   468.0   -1.9278e-05
1034.0   967.0   1101.0   508.0   468.0   548.0   0.00014141
1034.0   967.0   1101.0   593.0   548.0   638.0   0.00011947
1034.0   967.0   1101.0   687.5   638.0   737.0   0.00053193
1034.0   967.0   1101.0   791.5   737.0   846.0   0.0013524
1034.0   967.0   1101.0   906.5   846.0   967.0   0.0034294
1034.0   967.0   1101.0   1034.0   967.0   1101.0   0.033643
1034.0   967.0   1101.0   1174.5   1101.0   1248.0   0.0069485
1034.0   967.0   1101.0   1329.0   1248.0   1410.0   -2.0379e-05
1034.0   967.0   1101.0   1499.0   1410.0   1588.0   0.0024343
1034.0   967.0   1101.0   1686.0   1588.0   1784.0   -0.00034573
1034.0   967.0   1101.0   1892.0   1784.0   2000.0   -0.00014273
1034.0   967.0   1101.0   2119.0   2000.0   2238.0   0.00029151
1174.5   1101.0   1248.0   115.0   97.0   133.0   -8.1091e-05
1174.5   1101.0   1248.0   153.5   133.0   174.0   3.628e-05
1174.5   1101.0   1248.0   197.0   174.0   220.0   -7.6348e-06
1174.5   1101.0   1248.0   246.0   220.0   272.0   5.4564e-06
1174.5   1101.0   1248.0   301.0   272.0   330.0   4.7219e-06
1174.5   1101.0   1248.0   362.5   330.0   395.0   -5.1087e-08
1174.5   1101.0   1248.0   431.5   395.0   468.0   4.7692e-05
1174.5   1101.0   1248.0   508.0   468.0   548.0   -2.0755e-05
1174.5   1101.0   1248.0   593.0   548.0   638.0   0.00019159
1174.5   1101.0   1248.0   687.5   638.0   737.0   7.091e-05
