#: table_doi: 10.17182/hepdata.115022.v2/t33
#: name: ak7_correlations_y3_y1
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$and $|y| < 0.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y1.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
687.5   638.0   737.0   2369.0   2238.0   2500.0   -6.3194e-06
687.5   638.0   737.0   2643.5   2500.0   2787.0   2.4074e-05
687.5   638.0   737.0   2945.0   2787.0   3103.0   1.551e-05
791.5   737.0   846.0   115.0   97.0   133.0   -0.00013585
791.5   737.0   846.0   153.5   133.0   174.0   5.8317e-05
791.5   737.0   846.0   197.0   174.0   220.0   -4.1371e-05
791.5   737.0   846.0   246.0   220.0   272.0   -5.2887e-05
791.5   737.0   846.0   301.0   272.0   330.0   0.00012409
791.5   737.0   846.0   362.5   330.0   395.0   -3.8472e-05
791.5   737.0   846.0   431.5   395.0   468.0   -0.00016552
791.5   737.0   846.0   508.0   468.0   548.0   0.00040631
791.5   737.0   846.0   593.0   548.0   638.0   0.00073578
791.5   737.0   846.0   687.5   638.0   737.0   0.0017113
791.5   737.0   846.0   791.5   737.0   846.0   0.013963
791.5   737.0   846.0   906.5   846.0   967.0   0.0024801
791.5   737.0   846.0   1034.0   967.0   1101.0   0.0013524
791.5   737.0   846.0   1174.5   1101.0   1248.0   0.0009036
791.5   737.0   846.0   1329.0   1248.0   1410.0   -7.0161e-05
791.5   737.0   846.0   1499.0   1410.0   1588.0   0.00013554
791.5   737.0   846.0   1686.0   1588.0   1784.0   -2.2457e-05
791.5   737.0   846.0   1892.0   1784.0   2000.0   6.9928e-05
791.5   737.0   846.0   2119.0   2000.0   2238.0   7.8333e-05
791.5   737.0   846.0   2369.0   2238.0   2500.0   2.3128e-05
791.5   737.0   846.0   2643.5   2500.0   2787.0   -5.7188e-05
791.5   737.0   846.0   2945.0   2787.0   3103.0   -2.9938e-05
906.5   846.0   967.0   115.0   97.0   133.0   -8.0449e-05
906.5   846.0   967.0   153.5   133.0   174.0   3.2159e-05
906.5   846.0   967.0   197.0   174.0   220.0   9.3092e-06
906.5   846.0   967.0   246.0   220.0   272.0   3.4115e-05
906.5   846.0   967.0   301.0   272.0   330.0   -4.7217e-05
906.5   846.0   967.0   362.5   330.0   395.0   3.8195e-05
906.5   846.0   967.0   431.5   395.0   468.0   0.00014252
906.5   846.0   967.0   508.0   468.0   548.0   -7.0918e-05
906.5   846.0   967.0   593.0   548.0   638.0   0.00023926
906.5   846.0   967.0   687.5   638.0   737.0   0.00070141
906.5   846.0   967.0   791.5   737.0   846.0   0.0030361
906.5   846.0   967.0   906.5   846.0   967.0   0.023712
906.5   846.0   967.0   1034.0   967.0   1101.0   0.0034294
906.5   846.0   967.0   1174.5   1101.0   1248.0   0.0011105
906.5   846.0   967.0   1329.0   1248.0   1410.0   0.0012321
906.5   846.0   967.0   1499.0   1410.0   1588.0   0.00040541
906.5   846.0   967.0   1686.0   1588.0   1784.0   0.00034304
906.5   846.0   967.0   1892.0   1784.0   2000.0   -5.478e-05
906.5   846.0   967.0   2119.0   2000.0   2238.0   8.2641e-05
906.5   846.0   967.0   2369.0   2238.0   2500.0   2.9566e-05
906.5   846.0   967.0   2643.5   2500.0   2787.0   8.8179e-05
906.5   846.0   967.0   2945.0   2787.0   3103.0   7.0884e-05
1034.0   967.0   1101.0   115.0   97.0   133.0   -4.6177e-05
1034.0   967.0   1101.0   153.5   133.0   174.0   1.9653e-05
1034.0   967.0   1101.0   197.0   174.0   220.0   -9.6301e-06
1034.0   967.0   1101.0   246.0   220.0   272.0   -9.3086e-06
1034.0   967.0   1101.0   301.0   272.0   330.0   2.6385e-05
1034.0   967.0   1101.0   362.5   330.0   395.0   5.1873e-06
1034.0   967.0   1101.0   431.5   395.0   468.0   -3.8919e-05
1034.0   967.0   1101.0   508.0   468.0   548.0   0.00016683
1034.0   967.0   1101.0   593.0   548.0   638.0   8.4387e-05
1034.0   967.0   1101.0   687.5   638.0   737.0   0.00078757
1034.0   967.0   1101.0   791.5   737.0   846.0   0.0010066
1034.0   967.0   1101.0   906.5   846.0   967.0   0.0045435
1034.0   967.0   1101.0   1034.0   967.0   1101.0   0.033643
1034.0   967.0   1101.0   1174.5   1101.0   1248.0   0.0049417
1034.0   967.0   1101.0   1329.0   1248.0   1410.0   0.00084392
1034.0   967.0   1101.0   1499.0   1410.0   1588.0   0.000781
1034.0   967.0   1101.0   1686.0   1588.0   1784.0   -0.00017694
1034.0   967.0   1101.0   1892.0   1784.0   2000.0   0.00059682
1034.0   967.0   1101.0   2119.0   2000.0   2238.0   1.5859e-05
1034.0   967.0   1101.0   2369.0   2238.0   2500.0   0.00018724
1034.0   967.0   1101.0   2643.5   2500.0   2787.0   -0.00012962
1034.0   967.0   1101.0   2945.0   2787.0   3103.0   -0.00019247
