#: table_doi: 10.17182/hepdata.115022.v2/t25
#: name: ak7_correlations_y1_y1
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $|y| < 0.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y1_y1.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
593.0   548.0   638.0   791.5   737.0   846.0   0.19307
593.0   548.0   638.0   906.5   846.0   967.0   -0.072221
593.0   548.0   638.0   1034.0   967.0   1101.0   0.027294
593.0   548.0   638.0   1174.5   1101.0   1248.0   -0.0099646
593.0   548.0   638.0   1329.0   1248.0   1410.0   0.0038712
593.0   548.0   638.0   1499.0   1410.0   1588.0   -0.0013664
593.0   548.0   638.0   1686.0   1588.0   1784.0   0.00053005
593.0   548.0   638.0   1892.0   1784.0   2000.0   -0.00013857
593.0   548.0   638.0   2119.0   2000.0   2238.0   5.9011e-05
593.0   548.0   638.0   2369.0   2238.0   2500.0   -1.1133e-05
593.0   548.0   638.0   2643.5   2500.0   2787.0   3.2218e-05
593.0   548.0   638.0   2945.0   2787.0   3103.0   -1.7672e-05
687.5   638.0   737.0   115.0   97.0   133.0   -0.00064879
687.5   638.0   737.0   153.5   133.0   174.0   0.00063006
687.5   638.0   737.0   197.0   174.0   220.0   -0.0018456
687.5   638.0   737.0   246.0   220.0   272.0   0.0045684
687.5   638.0   737.0   301.0   272.0   330.0   -0.010537
687.5   638.0   737.0   362.5   330.0   395.0   0.025947
687.5   638.0   737.0   431.5   395.0   468.0   -0.06625
687.5   638.0   737.0   508.0   468.0   548.0   0.18421
687.5   638.0   737.0   593.0   548.0   638.0   -0.49627
687.5   638.0   737.0   687.5   638.0   737.0   1.0
687.5   638.0   737.0   791.5   737.0   846.0   -0.4794
687.5   638.0   737.0   906.5   846.0   967.0   0.18381
687.5   638.0   737.0   1034.0   967.0   1101.0   -0.067943
687.5   638.0   737.0   1174.5   1101.0   1248.0   0.025937
687.5   638.0   737.0   1329.0   1248.0   1410.0   -0.0093461
687.5   638.0   737.0   1499.0   1410.0   1588.0   0.0037137
687.5   638.0   737.0   1686.0   1588.0   1784.0   -0.0011833
687.5   638.0   737.0   1892.0   1784.0   2000.0   0.00047903
687.5   638.0   737.0   2119.0   2000.0   2238.0   -0.00011525
687.5   638.0   737.0   2369.0   2238.0   2500.0   6.1469e-05
687.5   638.0   737.0   2643.5   2500.0   2787.0   -4.3605e-05
687.5   638.0   737.0   2945.0   2787.0   3103.0   3.6054e-05
791.5   737.0   846.0   115.0   97.0   133.0   -0.00026946
791.5   737.0   846.0   153.5   133.0   174.0   -2.8796e-05
791.5   737.0   846.0   197.0   174.0   220.0   0.00066178
791.5   737.0   846.0   246.0   220.0   272.0   -0.0017004
791.5   737.0   846.0   301.0   272.0   330.0   0.0040259
791.5   737.0   846.0   362.5   330.0   395.0   -0.009935
791.5   737.0   846.0   431.5   395.0   468.0   0.025552
791.5   737.0   846.0   508.0   468.0   548.0   -0.070752
791.5   737.0   846.0   593.0   548.0   638.0   0.19307
791.5   737.0   846.0   687.5   638.0   737.0   -0.4794
791.5   737.0   846.0   791.5   737.0   846.0   1.0
791.5   737.0   846.0   906.5   846.0   967.0   -0.46179
791.5   737.0   846.0   1034.0   967.0   1101.0   0.17766
791.5   737.0   846.0   1174.5   1101.0   1248.0   -0.064995
791.5   737.0   846.0   1329.0   1248.0   1410.0   0.025094
791.5   737.0   846.0   1499.0   1410.0   1588.0   -0.0089541
791.5   737.0   846.0   1686.0   1588.0   1784.0   0.0033931
791.5   737.0   846.0   1892.0   1784.0   2000.0   -0.0010927
791.5   737.0   846.0   2119.0   2000.0   2238.0   0.00044764
791.5   737.0   846.0   2369.0   2238.0   2500.0   -0.00016602
791.5   737.0   846.0   2643.5   2500.0   2787.0   0.00018225
791.5   737.0   846.0   2945.0   2787.0   3103.0   -0.00011657
906.5   846.0   967.0   115.0   97.0   133.0   -0.00032538
906.5   846.0   967.0   153.5   133.0   174.0   0.00018655
906.5   846.0   967.0   197.0   174.0   220.0   -0.00028779
906.5   846.0   967.0   246.0   220.0   272.0   0.00068378
906.5   846.0   967.0   301.0   272.0   330.0   -0.0015459
906.5   846.0   967.0   362.5   330.0   395.0   0.0037795
906.5   846.0   967.0   431.5   395.0   468.0   -0.0095377
906.5   846.0   967.0   508.0   468.0   548.0   0.026728
906.5   846.0   967.0   593.0   548.0   638.0   -0.072221
906.5   846.0   967.0   687.5   638.0   737.0   0.18381
906.5   846.0   967.0   791.5   737.0   846.0   -0.46179
906.5   846.0   967.0   906.5   846.0   967.0   1.0
906.5   846.0   967.0   1034.0   967.0   1101.0   -0.43436
906.5   846.0   967.0   1174.5   1101.0   1248.0   0.1683
906.5   846.0   967.0   1329.0   1248.0   1410.0   -0.060812
906.5   846.0   967.0   1499.0   1410.0   1588.0   0.023642
906.5   846.0   967.0   1686.0   1588.0   1784.0   -0.0078875
906.5   846.0   967.0   1892.0   1784.0   2000.0   0.00323
906.5   846.0   967.0   2119.0   2000.0   2238.0   -0.00092063
906.5   846.0   967.0   2369.0   2238.0   2500.0   0.00056824
906.5   846.0   967.0   2643.5   2500.0   2787.0   -0.00034641
906.5   846.0   967.0   2945.0   2787.0   3103.0   0.00025899
1034.0   967.0   1101.0   115.0   97.0   133.0   -0.00018301
1034.0   967.0   1101.0   153.5   133.0   174.0   5.5258e-05
1034.0   967.0   1101.0   197.0   174.0   220.0   8.2158e-05
1034.0   967.0   1101.0   246.0   220.0   272.0   -0.00022836
1034.0   967.0   1101.0   301.0   272.0   330.0   0.00057091
1034.0   967.0   1101.0   362.5   330.0   395.0   -0.0013772
1034.0   967.0   1101.0   431.5   395.0   468.0   0.0036319
1034.0   967.0   1101.0   508.0   468.0   548.0   -0.0098744
1034.0   967.0   1101.0   593.0   548.0   638.0   0.027294
1034.0   967.0   1101.0   687.5   638.0   737.0   -0.067943
1034.0   967.0   1101.0   791.5   737.0   846.0   0.17766
1034.0   967.0   1101.0   906.5   846.0   967.0   -0.43436
